date,sampling_site,islandsize,distance,site_section,weight_total_grams,weight_bag_grams,length_tail_mm,length_hindfoot_mm,length_ear_mm,length_body_mm,sex_visual,island_size_category,island_dist_category
2021-7-11,Sidney Island,9030689,4335,North,40,13,85,21.5,16,97,female,Medium,near
2021-7-22,Portland Island,1408095,3743,NA,42,16,85,21.2,14.6,NA,female,Medium,near
2022-7-1,Saltspring Island,185492869,585,Ruckel,32,13,85,17.7,14.9,83,female,Large,far
2022-7-5,Mandarte Island,80697,7206,Section4_2,36,12.5,85,20,NA,88.8,male,Medium,far
2022-7-7,Mandarte Island,80697,7206,Section4_2,40,14,85,20,14.2,80.599999999999994,female,Medium,far
2022-7-19,Vancouver,0,0,JerichoPark,33,12,85,20,14.4,75,female,Small,near
2022-7-22,Mandarte Island,80697,7206,Section4_4,34,12.5,85,19.4,13.7,84.5,male,Medium,far
2022-7-22,Mandarte Island,80697,7206,Section4_4,40,11,85,19.6,14.5,101,female,Medium,far
2022-7-27,Mandarte Island,80697,7206,Section4_4,42,14.5,85,19.7,13.5,NA,female,Medium,far
2023-6-20,Mandarte Island,80697,7206,Section3_1,37,11,85,19.9,13.7,NA,male,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,36.5,12,85,17.4,12.2,NA,male,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,36,13.5,86,21.1,15.3,90.2,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,33,12.5,86,19.6,15.5,81.2,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,34,12,86,20,15.3,90,female,Large,near
2021-7-18,Mandarte Island,80697,7206,Section4_4,40,13,86,19.7,14.7,88.7,male,Medium,far
2021-7-20,Vancouver Island,31285000000,0,BeaverLake,38,14,86,20,14.3,83.3,male,Large,near
2021-7-22,Portland Island,1408095,3743,NA,38,14,86,21.7,14.1,86.4,female,Medium,near
2022-6-30,Saltspring Island,185492869,585,CrownLand,35,13,86,19,13.5,89,female,Large,far
2022-7-18,Vancouver,0,0,StanleyPark,33,12,86,21.3,12.7,89.3,male,Small,near
2022-7-18,Vancouver,0,0,StanleyPark,27,13,86,19.6,15,NA,female,Small,near
2022-7-22,Mandarte Island,80697,7206,Section4_4,32.5,12,86,19.2,15.3,85.5,female,Medium,far
2023-6-24,Mandarte Island,80697,7206,Section3_2,36,12,86,19.5,15.7,NA,female,Medium,far
2021-7-22,Portland Island,1408095,3743,NA,39.5,13,87,20.3,16,87,female,Medium,near
2022-7-18,Vancouver,0,0,StanleyPark,31,12,87,20,15.7,NA,male,Small,near
2022-7-22,Mandarte Island,80697,7206,Section4_4,40.5,14,87,19.2,14,87.7,female,Medium,far
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,33,15.5,88,18.5,15.1,82,male,Large,near
2021-7-4,Vancouver Island,31285000000,0,CanoeCove,34,13.5,88,19.9,15.2,94.7,male,Large,near
2022-7-18,Vancouver,0,0,StanleyPark,33,12,88,20.3,15.5,83.6,male,Small,near
2022-7-19,Vancouver,0,0,JerichoPark,34,13.5,88,19,13.8,91,female,Small,near
2024-7-26,Saturna Island,32247990,17589,NA,39,14,88,19,15.2,NA,female,Large,near
2022-6-30,Saltspring Island,185492869,585,CrownLand,30,13,89,18.7,13.4,73,male,Large,far
2022-7-4,Saturna Island,32247990,17589,NA,41,13,89,19.6,16.899999999999999,103.1,male,Large,near
2023-6-28,Mandarte Island,80697,7206,Section3_3,38.5,12,89,19.8,11.6,NA,male,Medium,far
2022-7-18,Vancouver,0,0,StanleyPark,32,12,90,22,17,86,male,Small,near
2021-7-8,D'Arcy Island,859545,5695,NA,46,15.5,92,21.5,14,85,female,Medium,far
2021-7-18,Mandarte Island,80697,7206,Section4_4,46,14,92,21,14.5,87.8,female,Medium,far
2022-6-30,Saltspring Island,185492869,585,CrownLand,42,14.5,92,19.2,13.7,90.5,female,Large,far
2022-7-18,Vancouver,0,0,StanleyPark,31,12.5,92,20.2,13.6,87.5,female,Small,near
2022-7-18,Vancouver,0,0,StanleyPark,33,14,94,21.8,15.5,NA,male,Small,near
2021-7-4,Vancouver Island,31285000000,NA,CanoeCove,35,13,96,20.8,17.8,90.9,female,Large,distant
