location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
ISU,76,II,Wild PC,6-8,1.9,17.5,7.6,19.5,117,isu,6
ISU,77,II,Wild PC,8-10,1.8,13,7.1,16.2,114.8,isu,8
ISU,78,II,Wild PC,10-15,1.6,9.8,5.8,12.4,112,isu,10
ISU,79,II,Wild PC,15-20,1.5,6.5,5,10.7,101.9,isu,15
ISU,80,II,Wild PC,20-25,1.6,5.4,5.1,11,102.3,isu,20
ISU,81,II,Wild PC,25-30,1.6,3.8,4.7,10.1,100.6,isu,25
ISU,82,II,Cereal Rye,0-2,4.8,29.2,22.6,74.3,278.3,isu,0
ISU,83,II,Cereal Rye,2-4,2.4,22.6,8,44.3,151,isu,2
ISU,84,II,Cereal Rye,4-6,2.3,15,6.5,36.5,117.4,isu,4
ISU,85,II,Cereal Rye,6-8,2.1,9.3,6.4,29.4,102.1,isu,6
ISU,86,II,Cereal Rye,8-10,1.7,7.8,6.7,21.7,105,isu,8
ISU,87,II,Cereal Rye,10-15,1.6,5.3,5.7,14.4,96,isu,10
ISU,88,II,Cereal Rye,15-20,1.6,5.3,4.8,11.3,94.2,isu,15
ISU,89,II,Cereal Rye,20-25,1.7,3.1,4.2,13.2,106.9,isu,20
ISU,90,II,Cereal Rye,25-30,1.7,2.1,4.3,12.9,101.2,isu,25
ISU,91,II,Ann Ryegrass,0-2,3.1,25.3,7.6,94.6,278.8,isu,0
ISU,92,II,Ann Ryegrass,2-4,2.5,24.2,5.4,58.8,146.4,isu,2
ISU,93,II,Ann Ryegrass,4-6,2.1,21.4,5.5,50.7,106.8,isu,4
ISU,94,II,Ann Ryegrass,6-8,2.1,17.3,5.9,41.5,96.6,isu,6
ISU,95,II,Ann Ryegrass,8-10,1.8,8.4,5.5,26.3,97.5,isu,8
ISU,96,II,Ann Ryegrass,10-15,1.7,7.9,4.7,14.1,92.7,isu,10
ISU,97,II,Ann Ryegrass,15-20,1.6,4.5,4.8,14.1,95.6,isu,15
ISU,98,II,Ann Ryegrass,20-25,1.6,3.5,4.2,12.2,91,isu,20
ISU,99,II,Ann Ryegrass,25-30,1.6,3.8,3.6,12.3,88.3,isu,25
ISU,100,II,Golden PC,0-2,3.4,80.5,14.2,101.3,272.7,isu,0
ISU,101,II,Golden PC,2-4,2.6,26.3,6.8,79.1,166,isu,2
ISU,102,II,Golden PC,4-6,2.4,15.6,6.8,65.7,121.2,isu,4
ISU,103,II,Golden PC,6-8,2.1,12.2,6.2,51.1,106.1,isu,6
ISU,104,II,Golden PC,8-10,1.8,9.9,6.2,35.2,102.3,isu,8
ISU,105,II,Golden PC,10-15,1.8,7.8,5.3,27.5,92.4,isu,10
ISU,106,II,Golden PC,15-20,1.7,5.2,5.2,21.8,95.5,isu,15
ISU,107,II,Golden PC,20-25,1.6,4.4,4.4,15.2,94.1,isu,20
ISU,108,II,Golden PC,25-30,1.8,3.6,3.7,12.6,105.7,isu,25
ISU,109,III,Control,0-2,3.8,35.1,17.5,66.7,349.7,isu,0
ISU,110,III,Control,2-4,3.2,35.4,14.3,43.2,241.5,isu,2
ISU,111,III,Control,4-6,3.1,21.7,9.1,30.6,183.8,isu,4
ISU,112,III,Control,6-8,2.9,14.5,8.7,23.3,156,isu,6
ISU,113,III,Control,8-10,2.7,10.2,8.9,26.8,155.5,isu,8
ISU,114,III,Control,10-15,2.6,9,8.8,18.6,138.8,isu,10
ISU,115,III,Control,15-20,2.4,5.2,6.6,13.2,124,isu,15
ISU,116,III,Control,20-25,2.4,4.1,23.9,14,125.8,isu,20
ISU,117,III,Control,25-30,2.1,4.3,4.1,9.5,141.1,isu,25
ISU,118,III,PCRO,0-2,3.8,31,15.4,95.9,401.1,isu,0
ISU,119,III,PCRO,2-4,3.2,32,14.6,64.5,197.4,isu,2
ISU,120,III,PCRO,4-6,3,24.3,16.6,47.6,163,isu,4
ISU,121,III,PCRO,6-8,3,21.8,10.4,38.6,154.3,isu,6
ISU,122,III,PCRO,8-10,2.6,15.8,9.2,23.3,138,isu,8
ISU,123,III,PCRO,10-15,2.5,9.2,9.4,18.7,118.5,isu,10
ISU,124,III,PCRO,15-20,2.4,6.8,7.9,15.1,118.9,isu,15
ISU,125,III,PCRO,20-25,2.3,6.3,6,10.7,124.2,isu,20
ISU,126,III,PCRO,25-30,1.9,4.7,4.2,9.7,131,isu,25
ISU,127,III,Wild PC,0-2,3.9,31.2,13.9,72.6,322.3,isu,0
ISU,128,III,Wild PC,2-4,3.4,31.4,16.8,43.7,215.4,isu,2
ISU,129,III,Wild PC,4-6,2.8,22.3,9.3,36.6,177.5,isu,4
ISU,130,III,Wild PC,6-8,2.9,16.2,9.9,27.2,140.5,isu,6
ISU,131,III,Wild PC,8-10,2.7,13.5,8.8,22.9,133,isu,8
ISU,132,III,Wild PC,10-15,2.6,12.5,7.3,19.1,135.8,isu,10
ISU,133,III,Wild PC,15-20,2.4,7.9,7.5,15.7,131.6,isu,15
ISU,134,III,Wild PC,20-25,2.3,5.7,6.4,12.6,127.7,isu,20
ISU,135,III,Wild PC,25-30,2,5,3.8,8.6,137.6,isu,25
ISU,136,III,Cereal Rye,0-2,4.3,17.6,38.4,70.4,380.4,isu,0
ISU,137,III,Cereal Rye,2-4,3.4,14.9,21.4,45.5,226.4,isu,2
ISU,138,III,Cereal Rye,4-6,3.1,11.6,27,38.6,172.2,isu,4
